"","adj","noun","session","n","adj_stem","noun_stem","adult_n","mean_typ"
"1","green","ball",2,1,"green","ball",34,3
"2","dirty","hand",3,4,"dirti","hand",30,3.5
"3","dirty","hand",3,4,"dirti","hand",30,3.5
"4","dirty","hand",3,4,"dirti","hand",30,3.5
"5","dirty","hand",3,4,"dirti","hand",30,3.5
"6","dirty","car",3,3,"dirti","car",3,5
"7","dirty","car",3,3,"dirti","car",3,5
"8","dirty","car",3,3,"dirti","car",3,5
"9","green","bean",3,3,"green","bean",11,4
"10","green","bean",3,3,"green","bean",11,4
"11","green","bean",3,3,"green","bean",11,4
"12","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"13","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"14","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"15","red","towel",3,3,"red","towel",1,3.75
"16","red","towel",3,3,"red","towel",1,3.75
"17","red","towel",3,3,"red","towel",1,3.75
"18","rocky","truck",3,3,"rocki","truck",9,1.25
"19","rocky","truck",3,3,"rocki","truck",9,1.25
"20","rocky","truck",3,3,"rocki","truck",9,1.25
"21","brown","dot",3,2,"brown","dot",3,3
"22","brown","dot",3,2,"brown","dot",3,3
"23","hot","tea",3,2,"hot","tea",22,4.5
"24","hot","tea",3,2,"hot","tea",22,4.5
"25","naked","baby",3,2,"nake","babi",7,4
"26","naked","baby",3,2,"nake","babi",7,4
"27","pink","cup",3,2,"pink","cup",10,3
"28","pink","cup",3,2,"pink","cup",10,3
"29","red","car",3,2,"red","car",74,3
"30","red","car",3,2,"red","car",74,3
"31","red","tractor",3,2,"red","tractor",1,4.25
"32","red","tractor",3,2,"red","tractor",1,4.25
"33","bright","color",3,1,"bright","color",12,3.5
"34","dark","hair",3,1,"dark","hair",2,4.6
"35","dirty","park",3,1,"dirti","park",2,3.33333333333333
"36","dirty","shoe",3,1,"dirti","shoe",10,4
"37","green","ball",3,1,"green","ball",34,3
"38","green","money",3,1,"green","monei",3,6.5
"39","green","pepper",3,1,"green","pepper",16,3.33333333333333
"40","green","pot",3,1,"green","pot",1,2.75
"41","green","strawberry",3,1,"green","strawberri",1,2.25
"42","green","tea",3,1,"green","tea",2,4.5
"43","hot","baby",3,1,"hot","babi",5,2.25
"44","hot","pot",3,1,"hot","pot",5,3.75
"45","pink","lip",3,1,"pink","lip",2,5
"46","pink","towel",3,1,"pink","towel",2,3
"47","red","crayon",3,1,"red","crayon",18,3.5
"48","red","truck",3,1,"red","truck",9,3.25
"49","sunny","day",3,1,"sunni","dai",21,4.25
"50","yellow","cup",3,1,"yellow","cup",27,3
"51","yellow","fish",3,1,"yellow","fish",19,3.25
"52","orange","fish",4,10,"orang","fish",28,3.25
"53","orange","fish",4,10,"orang","fish",28,3.25
"54","orange","fish",4,10,"orang","fish",28,3.25
"55","orange","fish",4,10,"orang","fish",28,3.25
"56","orange","fish",4,10,"orang","fish",28,3.25
"57","orange","fish",4,10,"orang","fish",28,3.25
"58","orange","fish",4,10,"orang","fish",28,3.25
"59","orange","fish",4,10,"orang","fish",28,3.25
"60","orange","fish",4,10,"orang","fish",28,3.25
"61","orange","fish",4,10,"orang","fish",28,3.25
"62","green","car",4,6,"green","car",25,3.5
"63","green","car",4,6,"green","car",25,3.5
"64","green","car",4,6,"green","car",25,3.5
"65","green","car",4,6,"green","car",25,3.5
"66","green","car",4,6,"green","car",25,3.5
"67","green","car",4,6,"green","car",25,3.5
"68","rubber","duck",4,6,"rubber","duck",10,3.5
"69","rubber","duck",4,6,"rubber","duck",10,3.5
"70","rubber","duck",4,6,"rubber","duck",10,3.5
"71","rubber","duck",4,6,"rubber","duck",10,3.5
"72","rubber","duck",4,6,"rubber","duck",10,3.5
"73","rubber","duck",4,6,"rubber","duck",10,3.5
"74","red","balloon",4,5,"red","balloon",21,3.25
"75","red","balloon",4,5,"red","balloon",21,3.25
"76","red","balloon",4,5,"red","balloon",21,3.25
"77","red","balloon",4,5,"red","balloon",21,3.25
"78","red","balloon",4,5,"red","balloon",21,3.25
"79","brown","bear",4,4,"brown","bear",42,5
"80","brown","bear",4,4,"brown","bear",42,5
"81","brown","bear",4,4,"brown","bear",42,5
"82","brown","bear",4,4,"brown","bear",42,5
"83","green","bean",4,4,"green","bean",11,4
"84","green","bean",4,4,"green","bean",11,4
"85","green","bean",4,4,"green","bean",11,4
"86","green","bean",4,4,"green","bean",11,4
"87","brown","shoe",4,3,"brown","shoe",5,4.25
"88","brown","shoe",4,3,"brown","shoe",5,4.25
"89","brown","shoe",4,3,"brown","shoe",5,4.25
"90","green","color",4,3,"green","color",16,4
"91","green","color",4,3,"green","color",16,4
"92","green","color",4,3,"green","color",16,4
"93","green","flower",4,2,"green","flower",4,2.5
"94","green","flower",4,2,"green","flower",4,2.5
"95","hot","syrup",4,2,"hot","syrup",1,2
"96","hot","syrup",4,2,"hot","syrup",1,2
"97","hot","tub",4,2,"hot","tub",12,3
"98","hot","tub",4,2,"hot","tub",12,3
"99","purple","house",4,2,"purpl","hous",1,2.25
"100","purple","house",4,2,"purpl","hous",1,2.25
"101","red","bird",4,2,"red","bird",83,2.5
"102","red","bird",4,2,"red","bird",83,2.5
"103","red","cookie",4,2,"red","cooki",6,1.66666666666667
"104","red","cookie",4,2,"red","cooki",6,1.66666666666667
"105","yellow","block",4,2,"yellow","block",12,2.75
"106","yellow","block",4,2,"yellow","block",12,2.75
"107","yellow","cup",4,2,"yellow","cup",27,3
"108","yellow","cup",4,2,"yellow","cup",27,3
"109","dirty","hand",4,1,"dirti","hand",30,3.5
"110","dirty","shirt",4,1,"dirti","shirt",6,4.5
"111","fuzzy","hair",4,1,"fuzzi","hair",1,2.75
"112","green","boat",4,1,"green","boat",5,3
"113","green","key",4,1,"green","kei",1,2.25
"114","green","tree",4,1,"green","tree",19,5.33333333333333
"115","green","truck",4,1,"green","truck",5,3
"116","hot","cereal",4,1,"hot","cereal",1,2.75
"117","orange","color",4,1,"orang","color",9,4
"118","orange","orange",4,1,"orang","orang",15,5.5
"119","orange","pumpkin",4,1,"orang","pumpkin",4,5
"120","orange","shirt",4,1,"orang","shirt",9,3
"121","outside","window",4,1,"outsid","window",1,4.5
"122","pink","crayon",4,1,"pink","crayon",9,2.5
"123","pink","tulip",4,1,"pink","tulip",1,3.5
"124","purple","cat",4,1,"purpl","cat",44,1.25
"125","purple","duck",4,1,"purpl","duck",6,1
"126","purple","floor",4,1,"purpl","floor",2,3
"127","red","apple",4,1,"red","appl",37,5.25
"128","red","car",4,1,"red","car",74,3
"129","red","dragon",4,1,"red","dragon",1,3
"130","red","hat",4,1,"red","hat",21,3.5
"131","red","house",4,1,"red","hous",4,2.25
"132","red","turtle",4,1,"red","turtl",2,1.75
"133","yellow","car",4,1,"yellow","car",21,2.25
"134","yellow","crayon",4,1,"yellow","crayon",12,3.25
"135","yellow","duck",4,1,"yellow","duck",56,5
"136","yellow","hat",4,1,"yellow","hat",16,4
"137","red","car",5,11,"red","car",74,3
"138","red","car",5,11,"red","car",74,3
"139","red","car",5,11,"red","car",74,3
"140","red","car",5,11,"red","car",74,3
"141","red","car",5,11,"red","car",74,3
"142","red","car",5,11,"red","car",74,3
"143","red","car",5,11,"red","car",74,3
"144","red","car",5,11,"red","car",74,3
"145","red","car",5,11,"red","car",74,3
"146","red","car",5,11,"red","car",74,3
"147","red","car",5,11,"red","car",74,3
"148","curly","hair",5,4,"curli","hair",15,3.25
"149","curly","hair",5,4,"curli","hair",15,3.25
"150","curly","hair",5,4,"curli","hair",15,3.25
"151","curly","hair",5,4,"curli","hair",15,3.25
"152","dark","hair",5,4,"dark","hair",2,4.6
"153","dark","hair",5,4,"dark","hair",2,4.6
"154","dark","hair",5,4,"dark","hair",2,4.6
"155","dark","hair",5,4,"dark","hair",2,4.6
"156","red","cookie",5,4,"red","cooki",6,1.66666666666667
"157","red","cookie",5,4,"red","cooki",6,1.66666666666667
"158","red","cookie",5,4,"red","cooki",6,1.66666666666667
"159","red","cookie",5,4,"red","cooki",6,1.66666666666667
"160","spiky","fish",5,4,"spiki","fish",8,2.5
"161","spiky","fish",5,4,"spiki","fish",8,2.5
"162","spiky","fish",5,4,"spiki","fish",8,2.5
"163","spiky","fish",5,4,"spiki","fish",8,2.5
"164","pink","jam",5,3,"pink","jam",12,2.5
"165","pink","jam",5,3,"pink","jam",12,2.5
"166","pink","jam",5,3,"pink","jam",12,2.5
"167","red","ball",5,3,"red","ball",36,4.66666666666667
"168","red","ball",5,3,"red","ball",36,4.66666666666667
"169","red","ball",5,3,"red","ball",36,4.66666666666667
"170","yellow","chair",5,3,"yellow","chair",3,3.25
"171","yellow","chair",5,3,"yellow","chair",3,3.25
"172","yellow","chair",5,3,"yellow","chair",3,3.25
"173","yellow","tooth",5,3,"yellow","tooth",1,3.75
"174","yellow","tooth",5,3,"yellow","tooth",1,3.75
"175","yellow","tooth",5,3,"yellow","tooth",1,3.75
"176","orange","star",5,2,"orang","star",5,1.75
"177","orange","star",5,2,"orang","star",5,1.75
"178","red","light",5,2,"red","light",71,3.5
"179","red","light",5,2,"red","light",71,3.5
"180","sweet","potato",5,2,"sweet","potato",17,2.75
"181","sweet","potato",5,2,"sweet","potato",17,2.75
"182","yellow","circle",5,2,"yellow","circl",23,4
"183","yellow","circle",5,2,"yellow","circl",23,4
"184","yellow","shoe",5,2,"yellow","shoe",6,2.25
"185","yellow","shoe",5,2,"yellow","shoe",6,2.25
"186","yellow","train",5,2,"yellow","train",4,3.5
"187","yellow","train",5,2,"yellow","train",4,3.5
"188","brown","bear",5,1,"brown","bear",42,5
"189","brown","crayon",5,1,"brown","crayon",3,3.25
"190","dirty","hand",5,1,"dirti","hand",30,3.5
"191","dirty","mouth",5,1,"dirti","mouth",5,4.25
"192","fat","cookie",5,1,"fat","cooki",1,2.75
"193","fat","hen",5,1,"fat","hen",2,4.75
"194","green","ball",5,1,"green","ball",34,3
"195","green","crayon",5,1,"green","crayon",17,4
"196","green","light",5,1,"green","light",114,2.25
"197","green","orange",5,1,"green","orang",4,2.25
"198","green","shoe",5,1,"green","shoe",10,2
"199","green","yogurt",5,1,"green","yogurt",1,2
"200","hot","baby",5,1,"hot","babi",5,2.25
"201","hot","coffee",5,1,"hot","coffe",9,4.75
"202","hot","steam",5,1,"hot","steam",2,6.66666666666667
"203","hot","water",5,1,"hot","water",29,5
"204","light","car",5,1,"light","car",2,3.25
"205","orange","balloon",5,1,"orang","balloon",3,2.5
"206","orange","peel",5,1,"orang","peel",1,3.25
"207","pink","bear",5,1,"pink","bear",15,1.75
"208","pink","crayon",5,1,"pink","crayon",9,2.5
"209","plastic","fork",5,1,"plastic","fork",1,3.75
"210","purple","cup",5,1,"purpl","cup",23,2.75
"211","purple","spaghetti",5,1,"purpl","spaghetti",3,2.5
"212","purple","top",5,1,"purpl","top",3,3.25
"213","red","bike",5,1,"red","bike",1,2.75
"214","red","candy",5,1,"red","candi",2,4.25
"215","red","flavor",5,1,"red","flavor",1,2.75
"216","red","hair",5,1,"red","hair",6,2.75
"217","red","hat",5,1,"red","hat",21,3.5
"218","red","heart",5,1,"red","heart",25,5.75
"219","red","house",5,1,"red","hous",4,2.25
"220","red","paper",5,1,"red","paper",2,3
"221","round","circle",5,1,"round","circl",6,7
"222","snowy","day",5,1,"snowi","dai",3,2.5
"223","wet","shirt",5,1,"wet","shirt",11,2.75
"224","wet","water",5,1,"wet","water",7,7
"225","yellow","eye",5,1,"yellow","ey",3,2.75
"226","yellow","hat",5,1,"yellow","hat",16,4
"227","yellow","noodle",5,1,"yellow","noodl",5,3.75
"228","yellow","tongue",5,1,"yellow","tongu",3,1.75
"229","red","car",6,9,"red","car",74,3
"230","red","car",6,9,"red","car",74,3
"231","red","car",6,9,"red","car",74,3
"232","red","car",6,9,"red","car",74,3
"233","red","car",6,9,"red","car",74,3
"234","red","car",6,9,"red","car",74,3
"235","red","car",6,9,"red","car",74,3
"236","red","car",6,9,"red","car",74,3
"237","red","car",6,9,"red","car",74,3
"238","muddy","mud",6,7,"muddi","mud",5,5.5
"239","muddy","mud",6,7,"muddi","mud",5,5.5
"240","muddy","mud",6,7,"muddi","mud",5,5.5
"241","muddy","mud",6,7,"muddi","mud",5,5.5
"242","muddy","mud",6,7,"muddi","mud",5,5.5
"243","muddy","mud",6,7,"muddi","mud",5,5.5
"244","muddy","mud",6,7,"muddi","mud",5,5.5
"245","dirty","foot",6,4,"dirti","foot",5,3.75
"246","dirty","foot",6,4,"dirti","foot",5,3.75
"247","dirty","foot",6,4,"dirti","foot",5,3.75
"248","dirty","foot",6,4,"dirti","foot",5,3.75
"249","green","guy",6,3,"green","gui",31,1
"250","green","guy",6,3,"green","gui",31,1
"251","green","guy",6,3,"green","gui",31,1
"252","green","pepper",6,3,"green","pepper",16,3.33333333333333
"253","green","pepper",6,3,"green","pepper",16,3.33333333333333
"254","green","pepper",6,3,"green","pepper",16,3.33333333333333
"255","pink","pony",6,3,"pink","poni",1,2.6
"256","pink","pony",6,3,"pink","poni",1,2.6
"257","pink","pony",6,3,"pink","poni",1,2.6
"258","red","bear",6,3,"red","bear",8,2
"259","red","bear",6,3,"red","bear",8,2
"260","red","bear",6,3,"red","bear",8,2
"261","red","cup",6,3,"red","cup",17,3.75
"262","red","cup",6,3,"red","cup",17,3.75
"263","red","cup",6,3,"red","cup",17,3.75
"264","yellow","car",6,3,"yellow","car",21,2.25
"265","yellow","car",6,3,"yellow","car",21,2.25
"266","yellow","car",6,3,"yellow","car",21,2.25
"267","dirty","water",6,2,"dirti","water",13,3.75
"268","dirty","water",6,2,"dirti","water",13,3.75
"269","green","train",6,2,"green","train",6,2.5
"270","green","train",6,2,"green","train",6,2.5
"271","hot","soup",6,2,"hot","soup",5,5.5
"272","hot","soup",6,2,"hot","soup",5,5.5
"273","purple","truck",6,2,"purpl","truck",3,2
"274","purple","truck",6,2,"purpl","truck",3,2
"275","red","bird",6,2,"red","bird",83,2.5
"276","red","bird",6,2,"red","bird",83,2.5
"277","red","circle",6,2,"red","circl",44,2.75
"278","red","circle",6,2,"red","circl",44,2.75
"279","red","grocery",6,2,"red","groceri",1,2.25
"280","red","grocery",6,2,"red","groceri",1,2.25
"281","red","store",6,2,"red","store",2,2.75
"282","red","store",6,2,"red","store",2,2.75
"283","red","tail",6,2,"red","tail",5,3.66666666666667
"284","red","tail",6,2,"red","tail",5,3.66666666666667
"285","yellow","hose",6,2,"yellow","hose",1,3
"286","yellow","hose",6,2,"yellow","hose",1,3
"287","brown","hair",6,1,"brown","hair",14,4.25
"288","brown","paper",6,1,"brown","paper",6,3.5
"289","cursive","letter",6,1,"cursiv","letter",1,3.75
"290","dark","color",6,1,"dark","color",9,4.25
"291","dirty","blanket",6,1,"dirti","blanket",4,3.33333333333333
"292","dirty","hand",6,1,"dirti","hand",30,3.5
"293","fuzzy","foot",6,1,"fuzzi","foot",4,2.75
"294","green","apple",6,1,"green","appl",20,3.75
"295","green","block",6,1,"green","block",9,2.5
"296","green","button",6,1,"green","button",14,2.33333333333333
"297","green","popsicle",6,1,"green","popsicl",3,3.25
"298","green","puppy",6,1,"green","puppi",1,1
"299","green","track",6,1,"green","track",5,4.25
"300","green","truck",6,1,"green","truck",5,3
"301","orange","eye",6,1,"orang","ey",4,1.75
"302","orange","hat",6,1,"orang","hat",5,2.5
"303","orange","leg",6,1,"orang","leg",2,1.25
"304","pink","purse",6,1,"pink","purs",3,3.25
"305","purple","ball",6,1,"purpl","ball",10,2.75
"306","purple","bird",6,1,"purpl","bird",10,2
"307","purple","car",6,1,"purpl","car",14,2.25
"308","purple","guy",6,1,"purpl","gui",11,1
"309","purple","kangaroo",6,1,"purpl","kangaroo",5,1
"310","red","dragon",6,1,"red","dragon",1,3
"311","red","leave",6,1,"red","leav",1,3.25
"312","red","light",6,1,"red","light",71,3.5
"313","red","milk",6,1,"red","milk",1,1
"314","red","paper",6,1,"red","paper",2,3
"315","red","reindeer",6,1,"red","reindeer",1,2.75
"316","red","shirt",6,1,"red","shirt",12,3.25
"317","red","spot",6,1,"red","spot",5,4.66666666666667
"318","red","square",6,1,"red","squar",5,3
"319","red","tongue",6,1,"red","tongu",1,2.75
"320","red","train",6,1,"red","train",4,2.5
"321","red","truck",6,1,"red","truck",9,3.25
"322","red","wheel",6,1,"red","wheel",4,3
"323","wet","mouth",6,1,"wet","mouth",6,5
"324","wet","rain",6,1,"wet","rain",4,7
"325","yellow","apple",6,1,"yellow","appl",2,4
"326","yellow","arm",6,1,"yellow","arm",1,2
"327","yellow","block",6,1,"yellow","block",12,2.75
"328","yellow","chicken",6,1,"yellow","chicken",5,3.66666666666667
