subject,session,utt_id,noun,adj,prenominal,adj_stem,noun_stem,x1,x2,x3,x4,x5,mean_typ,article,noun_conc,noun_freq,age
47,12,167810,hair,yellow,TRUE,yellow,hair,3,3,3,2,NA,2.75,a,4.97,1225,58
47,12,167856,eye,green,FALSE,green,ey,3,3,3,3,NA,3,an,4.9,1216,58
47,12,167858,eye,green,FALSE,green,ey,3,3,3,3,NA,3,an,4.9,1216,58
47,12,167878,finger,orange,FALSE,orang,finger,2,2,1,1,NA,1.5,a,5,879,58
47,12,167889,shirt,orange,TRUE,orang,shirt,3,3,3,3,NA,3,a,4.94,699,58
47,12,167890,shirt,orange,TRUE,orang,shirt,3,3,3,3,NA,3,a,4.94,699,58
47,12,167893,hair,yellow,FALSE,yellow,hair,3,3,3,2,NA,2.75,a,4.97,1225,58
47,12,167904,hair,orange,FALSE,orang,hair,3,2,1,3,NA,2.25,a,4.97,1225,58
47,12,167913,hair,orange,FALSE,orang,hair,3,2,1,3,NA,2.25,a,4.97,1225,58
47,12,167931,mouth,red,TRUE,red,mouth,3,1,6,3,NA,3.25,a,4.74,1453,58
47,12,167931,clown,red,FALSE,red,clown,2,3,4,3,3,3,a,4.9,104,58
47,12,167935,nose,red,TRUE,red,nose,2,2,1,3,NA,2,a,4.89,1290,58
47,12,167937,nose,red,FALSE,red,nose,2,2,1,3,NA,2,a,4.89,1290,58
47,12,167946,eye,red,FALSE,red,ey,3,2,3,NA,NA,2.6666666666666665,an,4.9,1216,58
47,12,168022,color,bright,FALSE,bright,color,4,4,3,3,NA,3.5,a,4.08,4028,58
47,12,168022,color,bright,FALSE,bright,color,4,4,3,3,NA,3.5,a,4.08,4028,58
47,12,168168,moon,green,FALSE,green,moon,1,1,1,1,NA,1,a,4.9,298,58
47,12,168168,cheese,green,FALSE,green,chees,2,2,2,2,NA,2,NA,4.7,690,58
47,12,168168,pocket,green,FALSE,green,pocket,3,2,3,2,NA,2.5,a,4.68,190,58
47,12,168169,moon,green,FALSE,green,moon,1,1,1,1,NA,1,a,4.9,298,58
47,12,168169,cheese,green,FALSE,green,chees,2,2,2,2,NA,2,NA,4.7,690,58
47,12,168199,mouse,blind,TRUE,blind,mous,2,2,2,3,NA,2.25,a,4.83,388,58
47,12,168201,tissue,wet,FALSE,wet,tissu,3,3,5,3,NA,3.5,a,4.93,164,58
47,12,168372,cave,dark,FALSE,dark,cave,6,6,7,4,NA,5.75,a,4.96,50,58
47,12,168372,night,dark,FALSE,dark,night,7,7,5,7,NA,6.5,a,4.52,399,58
47,12,168452,mess,giant,TRUE,giant,mess,4,5,3,NA,NA,4,a,3.9,699,58
48,1,168650,garden,back,TRUE,back,garden,2,3,4,3,NA,3,a,4.73,125,14
48,1,168650,door,back,FALSE,back,door,3,4,3,3,NA,3.25,a,4.81,1207,14
48,1,168680,circle,red,TRUE,red,circl,3,3,2,3,NA,2.75,a,4.44,974,14
48,1,168779,leaf,green,TRUE,green,leaf,6,4,5,6,NA,5.25,a,5,179,14
48,1,168906,bead,purple,TRUE,purpl,bead,3,2,4,3,NA,3,a,4.9,105,14
48,1,168907,bead,orange,TRUE,orang,bead,3,3,3,NA,NA,3,a,4.9,105,14
48,1,168914,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,14
48,1,168915,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,14
