adj,noun,type,n,x1,x2,x3,x4,x5,mean_typ,noun_conc
blonde,hair,acad,22,3,3,3,3,NA,3,4.97
blonde,hair,fic,498,3,3,3,3,NA,3,4.97
blonde,hair,mag,92,3,3,3,3,NA,3,4.97
blonde,hair,news,36,3,3,3,3,NA,3,4.97
blonde,hair,spok,80,3,3,3,3,NA,3,4.97
bright,heel,fic,12,NA,NA,NA,NA,NA,NA,NA
bright,star,acad,197,7,6,6,7,NA,6.5,4.69
bright,star,fic,292,7,6,6,7,NA,6.5,4.69
bright,star,mag,799,7,6,6,7,NA,6.5,4.69
bright,star,news,90,7,6,6,7,NA,6.5,4.69
bright,star,spok,52,7,6,6,7,NA,6.5,4.69
brown,bird,acad,15,5,3,3,3,NA,3.5,5
brown,bird,fic,57,5,3,3,3,NA,3.5,5
brown,bird,mag,42,5,3,3,3,NA,3.5,5
brown,bird,news,14,5,3,3,3,NA,3.5,5
brown,cat,fic,35,3,4,4,NA,NA,3.6666666666666665,4.86
brown,hair,acad,55,5,4,3,5,NA,4.25,4.97
brown,hair,fic,1961,5,4,3,5,NA,4.25,4.97
brown,hair,mag,226,5,4,3,5,NA,4.25,4.97
brown,hair,news,207,5,4,3,5,NA,4.25,4.97
brown,hair,spok,116,5,4,3,5,NA,4.25,4.97
curly,boy,fic,30,1,1,2,3,NA,1.75,4.76
curly,girl,fic,63,NA,NA,NA,NA,NA,NA,NA
curly,girl,mag,11,NA,NA,NA,NA,NA,NA,NA
curly,hair,acad,29,3,3,3,4,NA,3.25,4.97
curly,hair,fic,886,3,3,3,4,NA,3.25,4.97
curly,hair,mag,264,3,3,3,4,NA,3.25,4.97
curly,hair,news,98,3,3,3,4,NA,3.25,4.97
curly,hair,spok,73,3,3,3,4,NA,3.25,4.97
dark,floor,acad,16,5,3,3,4,NA,3.75,4.8
dark,floor,fic,70,5,3,3,4,NA,3.75,4.8
dark,floor,mag,33,5,3,3,4,NA,3.75,4.8
dark,floor,news,17,5,3,3,4,NA,3.75,4.8
dark,sky,acad,31,4,3,4,5,NA,4,4.45
dark,sky,fic,199,4,3,4,5,NA,4,4.45
dark,sky,mag,153,4,3,4,5,NA,4,4.45
dark,sky,news,15,4,3,4,5,NA,4,4.45
dirty,bowl,fic,15,1,4,4,4,NA,3.25,4.87
dirty,boy,fic,87,NA,NA,NA,NA,NA,NA,NA
dirty,boy,mag,19,NA,NA,NA,NA,NA,NA,NA
dirty,boy,news,17,NA,NA,NA,NA,NA,NA,NA
dirty,dog,fic,40,NA,NA,NA,NA,NA,NA,NA
dirty,dog,mag,11,NA,NA,NA,NA,NA,NA,NA
dirty,dog,news,13,NA,NA,NA,NA,NA,NA,NA
dirty,dog,spok,13,NA,NA,NA,NA,NA,NA,NA
dirty,foot,fic,77,3,4,5,3,NA,3.75,4.9
dirty,foot,news,12,3,4,5,3,NA,3.75,4.9
dirty,hair,fic,135,5,4,3,4,NA,4,4.97
dirty,hair,mag,15,5,4,3,4,NA,4,4.97
dirty,hair,spok,11,5,4,3,4,NA,4,4.97
dirty,hand,acad,12,3,4,4,3,NA,3.5,4.72
dirty,hand,fic,192,3,4,4,3,NA,3.5,4.72
dirty,hand,mag,37,3,4,4,3,NA,3.5,4.72
dirty,hand,news,28,3,4,4,3,NA,3.5,4.72
dirty,hand,spok,39,3,4,4,3,NA,3.5,4.72
dirty,kitchen,fic,93,3,3,3,4,NA,3.25,4.97
dirty,kitchen,mag,14,3,3,3,4,NA,3.25,4.97
dirty,kitchen,news,16,3,3,3,4,NA,3.25,4.97
fat,finger,fic,21,3,5,5,3,NA,4,5
fuzzy,peach,mag,10,3,6,6,5,5,5,4.9
green,balloon,fic,13,3,3,3,3,NA,3,4.92
green,bear,news,75,5,1,1,1,NA,2,4.88
green,bird,acad,14,2,2,2,5,NA,2.75,5
green,bird,fic,44,2,2,2,5,NA,2.75,5
green,bird,mag,21,2,2,2,5,NA,2.75,5
green,bird,news,11,2,2,2,5,NA,2.75,5
green,car,acad,10,3,5,3,3,NA,3.5,4.89
green,car,fic,74,3,5,3,3,NA,3.5,4.89
green,car,mag,59,3,5,3,3,NA,3.5,4.89
green,car,news,61,3,5,3,3,NA,3.5,4.89
green,car,spok,33,3,5,3,3,NA,3.5,4.89
green,cat,fic,20,1,1,3,NA,NA,1.6666666666666667,4.86
green,cat,mag,14,1,1,3,NA,NA,1.6666666666666667,4.86
green,chair,fic,59,3,3,2,3,NA,2.75,4.58
green,chair,mag,31,3,3,2,3,NA,2.75,4.58
green,chair,news,15,3,3,2,3,NA,2.75,4.58
green,dot,fic,19,2,5,3,3,NA,3.25,4.12
green,dot,mag,34,2,5,3,3,NA,3.25,4.12
green,hat,fic,26,3,3,2,3,NA,2.75,4.88
green,hat,news,15,3,3,2,3,NA,2.75,4.88
green,horse,fic,24,1,1,1,1,NA,1,5
green,horse,news,11,1,1,1,1,NA,1,5
green,leaf,acad,20,6,4,5,6,NA,5.25,5
green,leaf,fic,81,6,4,5,6,NA,5.25,5
green,leaf,mag,97,6,4,5,6,NA,5.25,5
green,leaf,news,47,6,4,5,6,NA,5.25,5
green,orange,mag,49,3,2,1,3,NA,2.25,4.66
green,orange,news,17,3,2,1,3,NA,2.25,4.66
green,pea,fic,18,6,7,5,4,NA,5.5,4.9
green,pea,mag,201,6,7,5,4,NA,5.5,4.9
green,pea,news,81,6,7,5,4,NA,5.5,4.9
green,pepper,fic,53,3,4,3,NA,NA,3.3333333333333335,4.59
green,pepper,mag,941,3,4,3,NA,NA,3.3333333333333335,4.59
green,pepper,news,348,3,4,3,NA,NA,3.3333333333333335,4.59
green,pepper,spok,28,3,4,3,NA,NA,3.3333333333333335,4.59
green,square,fic,20,3,4,3,2,NA,3,4.33
green,sun,fic,75,1,2,1,1,NA,1.25,4.83
green,sun,mag,39,1,2,1,1,NA,1.25,4.83
green,sun,news,13,1,2,1,1,NA,1.25,4.83
green,triangle,fic,10,4,4,2,3,NA,3.25,4.52
hot,bean,acad,11,NA,NA,NA,NA,NA,NA,NA
hot,bean,fic,25,NA,NA,NA,NA,NA,NA,NA
hot,bean,mag,214,NA,NA,NA,NA,NA,NA,NA
hot,bean,news,108,NA,NA,NA,NA,NA,NA,NA
hot,bean,spok,21,NA,NA,NA,NA,NA,NA,NA
hot,coffee,acad,23,6,4,4,5,NA,4.75,4.81
hot,coffee,fic,347,6,4,4,5,NA,4.75,4.81
hot,coffee,mag,180,6,4,4,5,NA,4.75,4.81
hot,coffee,news,112,6,4,4,5,NA,4.75,4.81
hot,coffee,spok,60,6,4,4,5,NA,4.75,4.81
hot,door,fic,303,2,1,2,2,NA,1.75,4.81
hot,door,mag,74,2,1,2,2,NA,1.75,4.81
hot,door,news,56,2,1,2,2,NA,1.75,4.81
hot,door,spok,17,2,1,2,2,NA,1.75,4.81
hot,fire,acad,41,7,7,7,6,NA,6.75,4.68
hot,fire,fic,234,7,7,7,6,NA,6.75,4.68
hot,fire,mag,163,7,7,7,6,NA,6.75,4.68
hot,fire,news,120,7,7,7,6,NA,6.75,4.68
hot,fire,spok,79,7,7,7,6,NA,6.75,4.68
hot,honey,fic,34,3,3,3,3,NA,3,4.88
hot,honey,mag,80,3,3,3,3,NA,3,4.88
hot,honey,news,35,3,3,3,3,NA,3,4.88
hot,radiator,acad,NA,3,6,5,6,NA,5,4.78
hot,radiator,mag,13,3,6,5,6,NA,5,4.78
hot,radiator,spok,NA,3,6,5,6,NA,5,4.78
hot,rice,fic,19,5,4,4,5,NA,4.5,4.86
hot,rice,mag,290,5,4,4,5,NA,4.5,4.86
hot,rice,news,112,5,4,4,5,NA,4.5,4.86
hot,shirt,fic,112,2,2,1,1,NA,1.5,4.94
hot,shirt,mag,27,2,2,1,1,NA,1.5,4.94
hot,shirt,news,17,2,2,1,1,NA,1.5,4.94
hot,soup,fic,117,5,6,5,6,NA,5.5,4.72
hot,soup,mag,184,5,6,5,6,NA,5.5,4.72
hot,soup,news,123,5,6,5,6,NA,5.5,4.72
hot,soup,spok,14,5,6,5,6,NA,5.5,4.72
orange,carrot,mag,17,6,6,6,5,NA,5.75,5
orange,slice,mag,16,3,3,5,3,NA,3.5,3.85
orange,star,mag,10,1,2,1,3,NA,1.75,4.69
pink,balloon,fic,19,5,3,3,3,NA,3.5,4.92
pink,bottle,fic,27,7,5,3,2,NA,4.25,4.91
pink,cookie,fic,12,1,4,2,2,NA,2.25,5
pink,dot,fic,19,3,4,3,3,NA,3.25,4.12
pink,dot,mag,12,3,4,3,3,NA,3.25,4.12
pink,nail,fic,57,NA,NA,NA,NA,NA,NA,NA
pink,nail,mag,29,NA,NA,NA,NA,NA,NA,NA
pink,slipper,fic,43,3,3,3,3,NA,3,4.86
pink,slipper,mag,14,3,3,3,3,NA,3,4.86
purple,balloon,fic,12,3,3,3,2,NA,2.75,4.92
purple,bead,acad,12,3,2,4,3,NA,3,4.9
purple,bird,fic,17,2,3,1,2,NA,2,5
purple,bird,mag,14,2,3,1,2,NA,2,5
purple,book,acad,10,3,2,2,2,NA,2.25,4.9
purple,book,fic,24,3,2,2,2,NA,2.25,4.9
purple,book,news,14,3,2,2,2,NA,2.25,4.9
purple,door,fic,40,2,1,2,2,NA,1.75,4.81
purple,door,mag,10,2,1,2,2,NA,1.75,4.81
purple,grape,fic,33,4,4,4,6,NA,4.5,5
purple,grape,mag,37,4,4,4,6,NA,4.5,5
purple,guy,fic,16,1,1,1,1,NA,1,4.68
purple,hand,fic,108,2,2,1,NA,NA,1.6666666666666667,4.72
purple,hat,fic,25,3,3,4,3,NA,3.25,4.88
purple,hat,mag,10,3,3,4,3,NA,3.25,4.88
purple,horse,fic,13,1,1,1,1,NA,1,5
purple,paper,fic,25,2,3,2,3,NA,2.5,4.93
purple,paper,mag,10,2,3,2,3,NA,2.5,4.93
purple,plum,fic,22,5,4,5,NA,NA,4.666666666666667,4.85
purple,plum,mag,20,5,4,5,NA,NA,4.666666666666667,4.85
purple,trunk,fic,10,3,1,2,2,NA,2,4.71
red,bat,mag,13,1,3,1,1,NA,1.5,5
red,bear,fic,10,1,1,2,4,NA,2,4.88
red,bear,mag,18,1,1,2,4,NA,2,4.88
red,bear,news,16,1,1,2,4,NA,2,4.88
red,bell,fic,22,4,2,3,3,NA,3,4.96
red,bell,mag,316,4,2,3,3,NA,3,4.96
red,bell,news,119,4,2,3,3,NA,3,4.96
red,bin,news,46,2,2,2,2,NA,2,4.72
red,blood,acad,117,7,7,6,7,NA,6.75,4.86
red,blood,fic,211,7,7,6,7,NA,6.75,4.86
red,blood,mag,288,7,7,6,7,NA,6.75,4.86
red,blood,news,190,7,7,6,7,NA,6.75,4.86
red,blood,spok,162,7,7,6,7,NA,6.75,4.86
red,bucket,fic,16,3,3,4,4,3,3.4,4.96
red,camera,acad,26,2,2,1,NA,NA,1.6666666666666667,5
red,camera,fic,20,2,2,1,NA,NA,1.6666666666666667,5
red,camera,mag,26,2,2,1,NA,NA,1.6666666666666667,5
red,camera,news,42,2,2,1,NA,NA,1.6666666666666667,5
red,camera,spok,23,2,2,1,NA,NA,1.6666666666666667,5
red,cat,fic,39,2,2,2,NA,NA,2,4.86
red,cat,mag,20,2,2,2,NA,NA,2,4.86
red,cat,news,17,2,2,2,NA,NA,2,4.86
red,crab,acad,20,5,3,5,7,NA,5,4.9
red,crab,mag,62,5,3,5,7,NA,5,4.9
red,crab,news,33,5,3,5,7,NA,5,4.9
red,dragon,fic,29,4,3,3,2,NA,3,4.39
red,dragon,mag,10,4,3,3,2,NA,3,4.39
red,duck,news,10,1,2,2,3,NA,2,4.86
red,engine,fic,10,4,3,2,NA,NA,3,4.86
red,engine,mag,13,4,3,2,NA,NA,3,4.86
red,engine,news,11,4,3,2,NA,NA,3,4.86
red,fence,fic,17,2,2,3,NA,NA,2.3333333333333335,4.82
red,fire,acad,38,7,7,6,3,NA,5.75,4.68
red,fire,fic,92,7,7,6,3,NA,5.75,4.68
red,fire,mag,46,7,7,6,3,NA,5.75,4.68
red,fire,news,52,7,7,6,3,NA,5.75,4.68
red,fire,spok,33,7,7,6,3,NA,5.75,4.68
red,frog,news,13,5,2,2,2,NA,2.75,5
red,girl,acad,22,6,3,4,3,NA,4,4.85
red,girl,fic,181,6,3,4,3,NA,4,4.85
red,girl,mag,73,6,3,4,3,NA,4,4.85
red,girl,news,54,6,3,4,3,NA,4,4.85
red,girl,spok,18,6,3,4,3,NA,4,4.85
red,hair,acad,45,3,3,2,3,NA,2.75,4.97
red,hair,fic,683,3,3,2,3,NA,2.75,4.97
red,hair,mag,142,3,3,2,3,NA,2.75,4.97
red,hair,news,73,3,3,2,3,NA,2.75,4.97
red,hair,spok,54,3,3,2,3,NA,2.75,4.97
red,hat,acad,26,5,3,3,3,NA,3.5,4.88
red,hat,fic,128,5,3,3,3,NA,3.5,4.88
red,hat,mag,56,5,3,3,3,NA,3.5,4.88
red,hat,news,55,5,3,3,3,NA,3.5,4.88
red,hat,spok,28,5,3,3,3,NA,3.5,4.88
red,heart,acad,22,6,4,7,6,NA,5.75,4.52
red,heart,fic,96,6,4,7,6,NA,5.75,4.52
red,heart,mag,104,6,4,7,6,NA,5.75,4.52
red,heart,news,70,6,4,7,6,NA,5.75,4.52
red,heart,spok,23,6,4,7,6,NA,5.75,4.52
red,heel,fic,43,NA,NA,NA,NA,NA,NA,NA
red,heel,mag,12,NA,NA,NA,NA,NA,NA,NA
red,honey,mag,57,2,1,2,3,NA,2,4.88
red,honey,news,21,2,1,2,3,NA,2,4.88
red,horse,acad,24,1,1,2,1,NA,1.25,5
red,horse,fic,63,1,1,2,1,NA,1.25,5
red,horse,mag,38,1,1,2,1,NA,1.25,5
red,horse,news,19,1,1,2,1,NA,1.25,5
red,horse,spok,10,1,1,2,1,NA,1.25,5
red,lid,fic,12,3,3,2,5,NA,3.25,4.96
red,lip,fic,146,7,5,5,NA,NA,5.666666666666667,4.96
red,lip,mag,54,7,5,5,NA,NA,5.666666666666667,4.96
red,lip,news,13,7,5,5,NA,NA,5.666666666666667,4.96
red,lip,spok,19,7,5,5,NA,NA,5.666666666666667,4.96
red,machine,fic,24,3,3,5,3,NA,3.5,4.25
red,machine,mag,14,3,3,5,3,NA,3.5,4.25
red,nail,fic,37,NA,NA,NA,NA,NA,NA,NA
red,nail,mag,20,NA,NA,NA,NA,NA,NA,NA
red,shirt,acad,15,3,4,3,3,NA,3.25,4.94
red,shirt,fic,207,3,4,3,3,NA,3.25,4.94
red,shirt,mag,67,3,4,3,3,NA,3.25,4.94
red,shirt,news,111,3,4,3,3,NA,3.25,4.94
red,shirt,spok,43,3,4,3,3,NA,3.25,4.94
red,snow,fic,43,2,1,1,1,NA,1.25,4.85
red,snow,mag,30,2,1,1,1,NA,1.25,4.85
red,square,fic,15,3,4,2,3,NA,3,4.33
red,square,mag,12,3,4,2,3,NA,3,4.33
red,strawberry,acad,10,5,6,5,6,NA,5.5,5
red,strawberry,fic,27,5,6,5,6,NA,5.5,5
red,strawberry,mag,61,5,6,5,6,NA,5.5,5
red,strawberry,news,26,5,6,5,6,NA,5.5,5
red,tomato,fic,46,6,6,7,3,NA,5.5,5
red,tomato,mag,402,6,6,7,3,NA,5.5,5
red,tomato,news,170,6,6,7,3,NA,5.5,5
red,tomato,spok,42,6,6,7,3,NA,5.5,5
