adj,noun_orig,noun,mass,adj_article,noun_article,article
riding,horse,horse,FALSE,a,a,a
riding,horses,horse,FALSE,a,a,a
driving,horse,horse,FALSE,a,a,a
land,horse,horse,FALSE,a,a,a
pitch,fork,fork,FALSE,a,NA,a
home,counties,county,FALSE,a,NA,a
art,school,school,FALSE,an,NA,a
lounge,window,window,FALSE,a,NA,a
tube,company,company,FALSE,a,NA,a
frame,chip,chip,FALSE,a,NA,a
tv,companies,company,FALSE,a,NA,a
cashier,chap,chap,FALSE,a,NA,a
fat,chap,chap,FALSE,a,NA,a
bum,workers,worker,FALSE,a,NA,a
telephone,box,box,FALSE,a,NA,a
chap,walking,walking,TRUE,,NA,
fire,alarm,alarm,FALSE,a,NA,an
text,ones,one,FALSE,a,a,a
spot,rack,rack,FALSE,a,NA,a
ace,head,head,FALSE,an,a,a
assistant,manager,manager,FALSE,an,NA,a
road,racing,racing,TRUE,,NA,
hand,drive,drive,FALSE,a,NA,a
market,boards,board,FALSE,a,NA,a
pond,deer,deer,FALSE,a,NA,a
blooming,herb,herb,FALSE,a,a,a
hedge,foot,foot,FALSE,a,NA,a
hedge,inches,inch,FALSE,a,NA,an
foot,inches,inch,FALSE,a,NA,an
plant,inches,inch,FALSE,a,NA,an
equipment,couple,couple,FALSE,an,NA,a
twin,deck,deck,FALSE,a,NA,a
boy,door,door,FALSE,a,NA,a
plant,food,food,TRUE,,NA,
horse,manure,manure,TRUE,,NA,
violet,light,light,FALSE,a,NA,a
stock,room,room,FALSE,a,NA,a
computer,people,person,FALSE,a,NA,a
motor,cars,car,FALSE,a,NA,a
motor,car,car,FALSE,a,NA,a
motor,caravans,caravan,FALSE,a,NA,a
engine,driver,driver,FALSE,an,NA,a
computer,scientist,scientist,FALSE,a,NA,a
night,school,school,FALSE,a,NA,a
bank,account,account,FALSE,a,NA,an
student,nurse,nurse,FALSE,a,NA,a
meteor,crater,crater,FALSE,a,NA,a
star,hotel,hotel,FALSE,a,a,a
hotel,days,day,FALSE,a,NA,a
cash,tills,till,FALSE,a,NA,a
fat,boiling,boiling,TRUE,,NA,
chip,pan,pan,FALSE,a,NA,a
fat,boils,boil,FALSE,a,NA,a
music,halls,hall,FALSE,a,a,a
song,sheet,sheet,FALSE,a,NA,a
railway,track,track,FALSE,a,NA,a
ring,dart,dart,FALSE,a,NA,a
brass,darts,dart,FALSE,a,NA,a
darts,duster,duster,FALSE,a,NA,a
sharpener,duster,duster,FALSE,a,NA,a
chalk,duster,duster,FALSE,a,NA,a
shell,suit,suit,FALSE,a,NA,a
head,shot,shot,FALSE,a,NA,a
cat,hair,hair,TRUE,,a,
wire,hair,hair,TRUE,,a,
press,office,office,FALSE,a,an,an
dog,food,food,TRUE,,NA,
food,company,company,FALSE,a,NA,a
traffic,jam,jam,TRUE,,NA,
teen,movie,movie,FALSE,a,NA,a
corn,movie,movie,FALSE,a,NA,a
firework,factory,factory,FALSE,a,NA,a
chicken,wings,wing,FALSE,a,NA,a
beef,sandwich,sandwich,FALSE,a,NA,a
day,day,day,FALSE,a,NA,a
battle,field,field,FALSE,a,NA,a
people,money,money,TRUE,,NA,
blond,boy,boy,FALSE,a,NA,a
office,clerk,clerk,FALSE,an,NA,a
money,brokers,broker,FALSE,a,NA,a
computer,games,game,FALSE,a,NA,a
countryside,breathing,breathing,TRUE,,NA,
country,air,air,TRUE,,NA,
camp,fires,fire,FALSE,a,NA,a
feather,feather,feather,FALSE,a,NA,a
feather,mattress,mattress,FALSE,a,NA,a
ceiling,tiles,tile,FALSE,a,NA,a
bed,sheets,sheet,FALSE,a,NA,a
jacket,potatoes,potato,FALSE,a,NA,a
jacket,potato,potato,FALSE,a,NA,a
company,software,software,TRUE,,NA,
pound,notes,note,FALSE,a,NA,a
car,station,station,FALSE,a,NA,a
child,seat,seat,FALSE,a,NA,a
car,seats,seat,FALSE,a,NA,a
stomach,bugs,bug,FALSE,a,NA,a
salmon,sandwich,sandwich,FALSE,a,NA,a
salmon,salad,salad,FALSE,a,NA,a
circus,bus,bus,FALSE,a,NA,a
egg,box,box,FALSE,an,NA,a
fruit,cakes,cake,FALSE,a,NA,a
butterfly,cakes,cake,FALSE,a,NA,a
pie,chips,chip,FALSE,a,NA,a
bread,roll,roll,FALSE,a,NA,a
egg,bread,bread,TRUE,,NA,
dozen,flight,flight,FALSE,a,NA,a
dozen,steps,step,FALSE,a,NA,a
man,mum,mum,FALSE,a,NA,a
traffic,light,light,FALSE,a,NA,a
check,shirt,shirt,FALSE,a,NA,a
navy,sweater,sweater,FALSE,a,NA,a
wax,jackets,jacket,FALSE,a,NA,a
cotton,shirts,shirt,FALSE,a,NA,a
milk,pints,pint,FALSE,a,NA,a
pork,chop,chop,FALSE,a,NA,a
water,bottle,bottle,FALSE,a,NA,a
aspirin,pinch,pinch,FALSE,an,NA,a
muscle,tissue,tissue,FALSE,a,NA,a
stud,dog,dog,FALSE,a,NA,a
princess,princess,princess,FALSE,a,NA,a
floor,face,face,FALSE,a,NA,a
wing,mirror,mirror,FALSE,a,NA,a
hair,dryer,dryer,FALSE,a,NA,a
meadow,walk,walk,FALSE,a,NA,a
girl,hood,hood,FALSE,a,a,a
strand,houses,house,FALSE,a,a,a
dog,walk,walk,FALSE,a,NA,a
dinner,bowl,bowl,FALSE,a,NA,a
boy,boy,boy,FALSE,a,NA,a
bowler,hats,hat,FALSE,a,a,a
cock,bird,bird,FALSE,a,NA,a
body,shop,shop,FALSE,a,NA,a
book,tokens,token,FALSE,a,NA,a
sleeve,shirt,shirt,FALSE,a,NA,a
vegetable,salad,salad,FALSE,a,NA,a
chip,machine,machine,FALSE,a,NA,a
magnet,waves,wave,FALSE,a,NA,a
wine,glasses,glasses,TRUE,,NA,
grey,coat,coat,FALSE,a,NA,a
duffel,coat,coat,FALSE,a,NA,a
grey,boots,boot,FALSE,a,NA,a
phone,rings,ring,FALSE,a,NA,a
tom,cat,cat,FALSE,a,NA,a
door,step,step,FALSE,a,NA,a
wrapping,papers,paper,FALSE,a,NA,a
shelve,divider,divider,FALSE,a,NA,a
tea,towels,towel,FALSE,a,NA,a
twin,tub,tub,FALSE,a,NA,a
light,weight,weight,FALSE,a,NA,a
screw,drivers,driver,FALSE,a,NA,a
bathroom,window,window,FALSE,a,NA,a
penny,piece,piece,FALSE,a,NA,a
coffee,machine,machine,FALSE,a,NA,a
person,people,person,FALSE,a,NA,a
coffee,machines,machine,FALSE,a,NA,a
tea,pot,pot,FALSE,a,NA,a
cash,book,book,FALSE,a,NA,a
patio,doors,door,FALSE,a,NA,a
wood,tuck,tuck,FALSE,a,NA,a
manor,ground,ground,TRUE,,NA,
dam,bush,bush,FALSE,a,NA,a
bed,steeds,steed,FALSE,a,NA,a
sugar,syrup,syrup,TRUE,,NA,
box,office,office,FALSE,a,an,an
tracksuit,bottoms,bottom,FALSE,a,NA,a
breakfast,eggs,egg,FALSE,a,NA,an
cauliflower,peas,pea,FALSE,a,NA,a
television,licence,licence,FALSE,a,NA,a
furniture,shop,shop,FALSE,a,NA,a
cat,flap,flap,FALSE,a,NA,a
flap,flap,flap,FALSE,a,NA,a
house,beams,beam,FALSE,a,NA,a
sewing,machine,machine,FALSE,a,NA,a
chap,advertising,advertising,TRUE,,NA,
wood,wood,wood,TRUE,,NA,
car,engine,engine,FALSE,a,NA,an
engine,oil,oil,TRUE,,an,
hare,lips,lip,FALSE,a,NA,a
bottom,jaw,jaw,FALSE,a,NA,a
jaw,bone,bone,FALSE,a,NA,a
letter,box,box,FALSE,a,NA,a
office,phone,phone,FALSE,an,NA,a
call,line,line,FALSE,a,NA,a
phone,bill,bill,FALSE,a,NA,a
phone,bills,bill,FALSE,a,NA,a
ice,hockey,hockey,TRUE,,a,
brake,pad,pad,FALSE,a,NA,a
brake,drums,drum,FALSE,a,NA,a
petrol,station,station,FALSE,a,NA,a
toy,toy,toy,FALSE,a,NA,a
field,field,field,FALSE,a,NA,a
wine,wine,wine,TRUE,,NA,
ice,mum,mum,FALSE,an,NA,a
tape,player,player,FALSE,a,NA,a
toilet,mother,mother,FALSE,a,NA,a
brick,fireplace,fireplace,FALSE,a,NA,a
light,grate,grate,FALSE,a,NA,a
brick,fire,fire,TRUE,,NA,
timber,mantel,mantel,FALSE,a,NA,a
mantel,fire,fire,TRUE,,NA,
housing,radiation,radiation,TRUE,,NA,
panel,radiator,radiator,FALSE,a,NA,a
wall,tiling,tiling,TRUE,,NA,
telephone,points,point,FALSE,a,NA,a
bathroom,suite,suite,FALSE,a,NA,a
metal,bath,bath,FALSE,a,NA,a
light,wood,wood,TRUE,,NA,
brick,wall,wall,FALSE,a,NA,a
flower,borders,border,FALSE,a,NA,a
screen,hedge,hedge,FALSE,a,a,a
floor,archway,archway,FALSE,a,NA,an
foot,radiators,radiator,FALSE,a,NA,a
wall,drawer,drawer,FALSE,a,NA,a
cooker,point,point,FALSE,a,NA,a
mixer,tap,tap,FALSE,a,NA,a
entrance,door,door,FALSE,an,NA,a
cork,tile,tile,FALSE,a,NA,a
tile,floor,floor,FALSE,a,NA,a
concrete,driveway,driveway,FALSE,a,NA,a
metal,door,door,FALSE,a,NA,a
door,timber,timber,TRUE,,NA,
patio,barbecue,barbecue,FALSE,a,NA,a
shrub,border,border,FALSE,a,NA,a
lock,timber,timber,TRUE,,NA,
timber,fencing,fencing,TRUE,,NA,
foot,lounge,lounge,FALSE,a,NA,a
garden,trees,tree,FALSE,a,NA,a
road,road,road,FALSE,a,NA,a
bedroom,room,room,FALSE,a,NA,a
foot,bedroom,bedroom,FALSE,a,NA,a
cooker,points,point,FALSE,a,NA,a
fire,fire,fire,TRUE,,NA,
board,back,back,FALSE,a,NA,a
film,star,star,FALSE,a,NA,a
hand,man,man,FALSE,a,NA,a
scrap,yard,yard,FALSE,a,NA,a
chocolate,eclairs,eclair,FALSE,a,NA,an
night,mother,mother,FALSE,a,NA,a
casserole,dish,dish,FALSE,a,NA,a
cuckoo,land,land,TRUE,,NA,
crisps,man,man,FALSE,a,NA,a
cake,shop,shop,FALSE,a,NA,a
chocolate,bar,bar,FALSE,a,NA,a
ground,almonds,almond,FALSE,a,NA,an
carrot,cake,cake,FALSE,a,NA,a
cream,cheese,cheese,TRUE,,NA,
tool,box,box,FALSE,a,NA,a
lilac,jade,jade,TRUE,,NA,
sailor,collar,collar,FALSE,a,NA,a
navy,stripe,stripe,FALSE,a,NA,a
back,room,room,FALSE,a,NA,a
pastel,pink,pink,TRUE,,NA,
grey,suite,suite,FALSE,a,NA,a
picture,frames,frame,FALSE,a,NA,a
picture,rails,rail,FALSE,a,NA,a
cigarette,smoke,smoke,TRUE,,NA,
phone,ring,ring,FALSE,a,NA,a
toast,cheese,cheese,TRUE,,NA,
filter,tip,tip,FALSE,a,NA,a
banana,apple,apple,FALSE,a,NA,an
weight,weight,weight,FALSE,a,NA,a
rubber,rubber,rubber,TRUE,,NA,
carry,film,film,FALSE,a,NA,a
pop,guns,guns,FALSE,a,NA,a
bedroom,bathroom,bathroom,FALSE,a,NA,a
bathroom,room,room,FALSE,a,NA,a
curtain,rail,rail,FALSE,a,NA,a
curtain,ring,ring,FALSE,a,NA,a
chicken,chickens,chicken,FALSE,a,NA,a
door,grill,grill,FALSE,a,NA,a
air,museum,museum,FALSE,an,NA,a
school,call,call,FALSE,a,NA,a
street,corner,corner,FALSE,a,NA,a
bird,bath,bath,FALSE,a,NA,a
ground,loo,loo,FALSE,a,NA,a
tit,box,box,FALSE,a,NA,a
tea,cakes,cake,FALSE,a,NA,a
cat,product,product,FALSE,a,NA,a
walk,hotel,hotel,FALSE,a,a,a
foot,hole,hole,FALSE,a,a,a
cooking,chocolate,chocolate,TRUE,,NA,
person,rings,ring,FALSE,a,NA,a
street,shops,shop,FALSE,a,NA,a
toilet,handle,handle,FALSE,a,a,a
book,book,book,FALSE,a,NA,a
picture,book,book,FALSE,a,NA,a
night,dress,dress,FALSE,a,NA,a
pop,opera,opera,FALSE,a,an,an
sea,shells,shell,FALSE,a,NA,a
train,station,station,FALSE,a,NA,a
back,fence,fence,FALSE,a,NA,a
chain,saws,saw,FALSE,a,NA,a
chain,saw,saw,FALSE,a,NA,a
road,signs,sign,FALSE,a,NA,a
floor,wall,wall,FALSE,a,NA,a
examination,board,board,FALSE,an,NA,a
stag,group,group,FALSE,a,NA,a
scout,badge,badge,FALSE,a,NA,a
scout,tents,tent,FALSE,a,NA,a
scout,group,group,FALSE,a,NA,a
cub,group,group,FALSE,a,NA,a
tent,stalls,stall,FALSE,a,NA,a
walking,boots,boot,FALSE,a,NA,a
pound,boots,boot,FALSE,a,NA,a
video,tape,tape,FALSE,a,NA,a
food,processor,processor,FALSE,a,NA,a
ferry,crossing,crossing,FALSE,a,NA,a
fare,crossing,crossing,FALSE,a,NA,a
man,bobsleigh,bobsleigh,FALSE,a,NA,a
track,record,record,FALSE,a,NA,a
record,run,run,FALSE,a,NA,a
dozen,ones,one,FALSE,a,a,a
paper,plates,plate,FALSE,a,NA,a
video,player,player,FALSE,a,NA,a
foot,trunk,trunk,FALSE,a,NA,a
tree,trunk,trunk,FALSE,a,NA,a
art,advisor,advisor,FALSE,an,NA,an
gun,guard,guard,FALSE,a,NA,a
guard,guard,guard,FALSE,a,NA,a
police,guard,guard,FALSE,a,NA,a
phone,box,box,FALSE,a,NA,a
police,cars,car,FALSE,a,NA,a
call,box,box,FALSE,a,NA,a
hand,filter,filter,FALSE,a,NA,a
tool,repair,repair,FALSE,a,NA,a
world,cup,cup,FALSE,a,NA,a
pop,star,star,FALSE,a,NA,a
frozen,chicken,chicken,FALSE,a,NA,a
chocolate,log,log,FALSE,a,NA,a
floor,tiling,tiling,TRUE,,NA,
grill,pan,pan,FALSE,a,NA,a
plant,house,house,FALSE,a,a,a
sit,bar,bar,FALSE,a,NA,a
snack,bar,bar,FALSE,a,NA,a
college,buildings,building,FALSE,a,NA,a
ground,rice,rice,TRUE,,NA,
rice,cake,cake,FALSE,a,NA,a
chocolate,sandwich,sandwich,FALSE,a,NA,a
sandwich,pound,pound,FALSE,a,NA,a
cross,pieces,piece,FALSE,a,NA,a
children,slip,slip,FALSE,a,NA,a
violin,group,group,FALSE,a,NA,a
day,games,game,FALSE,a,NA,a
list,boy,boy,FALSE,a,NA,a
bread,crust,crust,FALSE,a,NA,a
crust,crust,crust,FALSE,a,NA,a
pitch,tar,tar,TRUE,,NA,
drug,alcohol,alcohol,TRUE,,NA,
calendar,date,date,FALSE,a,NA,a
checkout,girl,girl,FALSE,a,NA,a
school,room,room,FALSE,a,NA,a
packet,curry,curry,FALSE,a,NA,a
foot,flat,flat,FALSE,a,NA,a
light,bulbs,bulb,FALSE,a,NA,a
door,frame,frame,FALSE,a,NA,a
cheese,packet,packet,FALSE,a,NA,a
document,file,file,FALSE,a,NA,a
office,group,group,FALSE,an,NA,a
children,adults,adult,FALSE,a,NA,an
navy,skirt,skirt,FALSE,a,NA,a
gram,jar,jar,FALSE,a,NA,a
chocolate,raisins,raisin,FALSE,a,NA,a
phone,line,line,FALSE,a,NA,a
ear,hole,hole,FALSE,an,a,a
shoe,shops,shop,FALSE,a,NA,a
shoe,shop,shop,FALSE,a,NA,a
fruit,shop,shop,FALSE,a,NA,a
paper,towels,towel,FALSE,a,NA,a
cooker,man,man,FALSE,a,NA,a
grey,tights,tights,TRUE,,NA,
pound,balls,ball,FALSE,a,NA,a
sea,green,green,TRUE,,NA,
shop,shop,shop,FALSE,a,NA,a
magazine,rack,rack,FALSE,a,NA,a
show,office,office,FALSE,a,an,an
coffee,cups,cup,FALSE,a,NA,a
chocolate,ones,one,FALSE,a,a,a
draw,prizes,prize,FALSE,a,NA,a
pound,prize,prize,FALSE,a,NA,a
bird,box,box,FALSE,a,NA,a
wall,clock,clock,FALSE,a,NA,a
video,recorder,recorder,FALSE,a,NA,a
wall,clocks,clock,FALSE,a,NA,a
foil,tray,tray,FALSE,a,NA,a
metal,ties,tie,FALSE,a,NA,a
film,wrap,wrap,FALSE,a,NA,a
plastic,wrap,wrap,FALSE,a,NA,a
pigeon,shit,shit,TRUE,,NA,
mango,ones,one,FALSE,a,a,a
cuckoo,head,head,FALSE,a,a,a
dogs,barking,barking,TRUE,,NA,
thick,players,player,FALSE,a,NA,a
pink,carpet,carpet,FALSE,a,NA,a
green,green,green,TRUE,,NA,
dolphin,show,show,FALSE,a,NA,a
back,back,back,FALSE,a,NA,a
puppy,dogs,dog,FALSE,a,NA,a
intercom,beep,beep,FALSE,an,NA,a
woof,woof,woof,FALSE,a,NA,a
jungle,gym,gym,FALSE,a,NA,a
orange,color,color,FALSE,an,NA,a
bear,hunt,hunt,FALSE,a,a,a
thick,mud,mud,TRUE,,NA,
dark,forest,forest,FALSE,a,NA,a
mud,squirt,squirt,FALSE,a,NA,a
green,box,box,FALSE,a,NA,a
frog,book,book,FALSE,a,NA,a
dark,eyes,eye,FALSE,a,NA,an
hot,balloons,balloon,FALSE,a,NA,a
red,air,air,TRUE,,NA,
curly,tails,tail,FALSE,a,NA,a
pink,phone,phone,FALSE,a,NA,a
pink,stairs,stair,FALSE,a,NA,a
oval,ball,ball,FALSE,an,NA,a
ear,rings,ring,FALSE,an,NA,a
oatmeal,bite,bite,FALSE,an,NA,a
wet,foot,foot,FALSE,a,NA,a
orange,piece,piece,FALSE,an,NA,a
purple,ark,ark,FALSE,a,NA,an
green,color,color,FALSE,a,NA,a
upstairs,toys,toy,FALSE,an,NA,a
stairs,toys,toy,FALSE,a,NA,a
elephant,book,book,FALSE,an,NA,a
baby,elephant,elephant,FALSE,a,NA,an
red,hairs,hair,TRUE,,a,
dirty,water,water,TRUE,,NA,
red,marker,marker,FALSE,a,NA,a
fat,white,white,TRUE,,NA,
fuzzy,poodles,poodle,FALSE,a,NA,a
honey,pots,pot,FALSE,a,NA,a
bug,bug,bug,FALSE,a,NA,a
top,crocodile,crocodile,FALSE,a,NA,a
flat,side,side,FALSE,a,NA,a
flat,borders,border,FALSE,a,NA,a
flat,border,border,FALSE,a,NA,a
flat,edge,edge,FALSE,a,NA,an
bottom,piece,piece,FALSE,a,NA,a
sky,piece,piece,FALSE,a,NA,a
flat,tire,tire,FALSE,a,NA,a
bunny,rabbits,rabbit,FALSE,a,NA,a
hot,dog,dog,FALSE,a,NA,a
hot,popsicle,popsicle,FALSE,a,NA,a
ear,drum,drum,FALSE,an,NA,a
orange,shirt,shirt,FALSE,an,NA,a
round,egg,egg,FALSE,a,NA,an
sunny,side,side,FALSE,a,NA,a
lady,bugs,bug,FALSE,a,NA,a
woolly,sheep,sheep,FALSE,a,NA,a
tree,tops,top,FALSE,a,NA,a
flat,honey,honey,TRUE,,a,
red,block,block,FALSE,a,NA,a
library,book,book,FALSE,a,NA,a
mutton,heads,head,FALSE,a,a,a
wet,suit,suit,FALSE,a,NA,a
limp,sheep,sheep,FALSE,a,NA,a
sandy,apricot,apricot,FALSE,a,NA,an
mermaid,holes,hole,FALSE,a,a,a
key,instrument,instrument,FALSE,a,NA,an
flower,seeds,seed,FALSE,a,NA,a
green,square,square,FALSE,a,NA,a
apple,juice,juice,TRUE,,NA,
apple,juicers,juicer,FALSE,an,NA,a
elephant,trumpeting,trumpeting,TRUE,,NA,
green,hat,hat,FALSE,a,a,a
yellow,star,star,FALSE,a,NA,a
bear,face,face,FALSE,a,NA,a
bear,faces,face,FALSE,a,NA,a
bear,shoes,shoe,FALSE,a,NA,a
brown,bear,bear,FALSE,a,NA,a
red,bird,bird,FALSE,a,NA,a
yellow,duck,duck,FALSE,a,NA,a
green,frog,frog,FALSE,a,NA,a
quack,quack,quack,FALSE,a,NA,a
furry,face,face,FALSE,a,NA,a
purple,spider,spider,FALSE,a,NA,a
fuzzy,teddy,teddy,FALSE,a,NA,a
bunny,slippers,slipper,FALSE,a,NA,a
orange,frog,frog,FALSE,an,NA,a
pink,satin,satin,TRUE,,NA,
orange,fish,fish,FALSE,an,NA,a
bear,puzzle,puzzle,FALSE,a,NA,a
jelly,beans,bean,FALSE,a,NA,a
sweet,potatoes,potato,FALSE,a,NA,a
string,beans,bean,FALSE,a,NA,a
purple,mouse,mouse,FALSE,a,NA,a
singing,songs,song,FALSE,a,NA,a
shake,mommy,mommy,FALSE,a,NA,a
orange,tea,tea,TRUE,,NA,
green,scissors,scissors,TRUE,,NA,
cursive,letters,letter,FALSE,a,NA,a
puzzle,pieces,piece,FALSE,a,NA,a
outside,toy,toy,FALSE,an,NA,a
red,tricycle,tricycle,FALSE,a,NA,a
pink,star,star,FALSE,a,NA,a
pink,heart,heart,FALSE,a,a,a
dark,turquoise,turquoise,TRUE,,NA,
purple,diamond,diamond,FALSE,a,NA,a
orange,pentagon,pentagon,FALSE,an,NA,a
green,circle,circle,FALSE,a,NA,a
hot,dogs,dog,FALSE,a,NA,a
orange,juice,juice,TRUE,,NA,
baby,parrot,parrot,FALSE,a,NA,a
baby,food,food,TRUE,,NA,
elephant,brown,brown,TRUE,,NA,
orange,paint,paint,TRUE,,NA,
top,back,back,FALSE,a,NA,a
top,piece,piece,FALSE,a,NA,a
fish,cakes,cake,FALSE,a,NA,a
purple,eyes,eye,FALSE,a,NA,an
brown,beard,beard,FALSE,a,NA,a
green,beard,beard,FALSE,a,NA,a
pink,scooter,scooter,FALSE,a,NA,a
puppet,show,show,FALSE,a,NA,a
purple,scissors,scissors,TRUE,,NA,
fish,rainbow,rainbow,FALSE,a,NA,a
hill,letter,letter,FALSE,a,NA,a
red,color,color,FALSE,a,NA,a
round,clock,clock,FALSE,a,NA,a
cut,apples,apple,FALSE,a,NA,an
red,star,star,FALSE,a,NA,a
striped,fish,fish,FALSE,a,NA,a
yellow,guy,guy,FALSE,a,NA,a
red,fish,fish,FALSE,a,NA,a
bottom,pieces,piece,FALSE,a,NA,a
sweet,heart,heart,FALSE,a,a,a
green,land,land,TRUE,,NA,
drop,drinks,drink,FALSE,a,NA,a
aphid,sandwiches,sandwich,FALSE,an,NA,a
thick,canopy,canopy,FALSE,a,NA,a
dark,mulch,mulch,TRUE,,NA,
yellow,wings,wing,FALSE,a,NA,a
brown,stick,stick,FALSE,a,NA,a
green,edges,edge,FALSE,a,NA,an
giant,creature,creature,FALSE,a,NA,a
purple,buds,bud,FALSE,a,NA,a
purple,bugs,bug,FALSE,a,NA,a
slippery,bugs,bug,FALSE,a,NA,a
brown,hill,hill,FALSE,a,a,a
brown,clump,clump,FALSE,a,NA,a
bully,ants,ant,FALSE,a,NA,an
red,flowers,flower,FALSE,a,NA,a
ant,aphids,aphid,FALSE,an,NA,an
paint,trays,tray,FALSE,a,NA,a
yellow,boat,boat,FALSE,a,NA,a
yellow,paint,paint,TRUE,,NA,
mural,show,show,FALSE,a,NA,a
dark,side,side,FALSE,a,NA,a
red,dots,dot,FALSE,a,NA,a
green,beans,bean,FALSE,a,NA,a
hot,macaroni,macaroni,TRUE,,NA,
pink,roses,rose,FALSE,a,NA,a
red,hearts,heart,FALSE,a,a,a
yellow,car,car,FALSE,a,NA,a
green,car,car,FALSE,a,NA,a
upstairs,sleeping,sleeping,TRUE,,NA,
mommy,home,home,FALSE,a,a,a
drool,boy,boy,FALSE,a,NA,a
mommy,shoes,shoe,FALSE,a,NA,a
frog,toy,toy,FALSE,a,NA,a
baby,songs,song,FALSE,a,NA,a
red,hair,hair,TRUE,,a,
orange,ones,one,FALSE,an,a,a
yellow,milk,milk,TRUE,,NA,
red,milk,milk,TRUE,,NA,
tooth,fairy,fairy,FALSE,a,NA,a
garden,tools,tool,FALSE,a,NA,a
purple,ones,one,FALSE,a,a,a
purple,bat,bat,FALSE,a,NA,a
scribble,ball,ball,FALSE,a,NA,a
baby,babies,baby,FALSE,a,NA,a
baby,baby,baby,FALSE,a,NA,a
outside,line,line,FALSE,an,NA,a
green,stripe,stripe,FALSE,a,NA,a
purple,water,water,TRUE,,NA,
apple,green,green,TRUE,,NA,
pear,juice,juice,TRUE,,NA,
jelly,sandwich,sandwich,FALSE,a,NA,a
outside,basket,basket,FALSE,an,NA,a
red,stairs,stair,FALSE,a,NA,a
red,heart,heart,FALSE,a,a,a
puppy,book,book,FALSE,a,NA,a
purple,puppy,puppy,FALSE,a,NA,a
pink,dots,dot,FALSE,a,NA,a
green,star,star,FALSE,a,NA,a
orange,star,star,FALSE,an,NA,a
red,balls,ball,FALSE,a,NA,a
yellow,lemon,lemon,FALSE,a,NA,a
red,apple,apple,FALSE,a,NA,an
orange,peach,peach,FALSE,an,NA,a
yellow,banana,banana,FALSE,a,NA,a
yellow,tracks,track,FALSE,a,NA,a
orange,structure,structure,FALSE,an,NA,a
smiley,face,face,FALSE,a,NA,a
green,flag,flag,FALSE,a,NA,a
yellow,ring,ring,FALSE,a,NA,a
orange,flag,flag,FALSE,an,NA,a
purple,ring,ring,FALSE,a,NA,a
gold,star,star,FALSE,a,NA,a
dirty,hamper,hamper,FALSE,a,a,a
yellow,block,block,FALSE,a,NA,a
green,block,block,FALSE,a,NA,a
orange,block,block,FALSE,an,NA,a
baby,jogger,jogger,FALSE,a,NA,a
green,ball,ball,FALSE,a,NA,a
red,balloon,balloon,FALSE,a,NA,a
yogurt,raisins,raisin,FALSE,a,NA,a
purple,coat,coat,FALSE,a,NA,a
purple,hat,hat,FALSE,a,a,a
red,reindeer,reindeer,FALSE,a,NA,a
red,bow,bow,FALSE,a,NA,a
red,hat,hat,FALSE,a,a,a
red,penguin,penguin,FALSE,a,NA,a
slide,watch,watch,FALSE,a,NA,a
yellow,bananas,banana,FALSE,a,NA,a
hot,muffins,muffin,FALSE,a,NA,a
yellow,stars,star,FALSE,a,NA,a
pink,frosting,frosting,TRUE,,NA,
red,apples,apple,FALSE,a,NA,an
green,broccoli,broccoli,TRUE,,NA,
purple,grapes,grape,FALSE,a,NA,a
green,grapes,grape,FALSE,a,NA,a
kitty,cats,cat,FALSE,a,NA,a
yellow,moon,moon,FALSE,a,NA,a
mommy,deer,deer,FALSE,a,NA,a
red,flag,flag,FALSE,a,NA,a
yellow,flag,flag,FALSE,a,NA,a
yellow,box,box,FALSE,a,NA,a
yellow,boxes,box,FALSE,a,NA,a
orange,tube,tube,FALSE,an,NA,a
red,fence,fence,FALSE,a,NA,a
red,circle,circle,FALSE,a,NA,a
purple,robe,robe,FALSE,a,NA,a
purple,bird,bird,FALSE,a,NA,a
purple,birds,bird,FALSE,a,NA,a
yellow,circles,circle,FALSE,a,NA,a
brown,circles,circle,FALSE,a,NA,a
brown,path,path,FALSE,a,NA,a
brown,fur,fur,TRUE,,NA,
purple,circles,circle,FALSE,a,NA,a
red,circles,circle,FALSE,a,NA,a
run,ball,ball,FALSE,a,NA,a
yellow,sticks,stick,FALSE,a,NA,a
brown,floor,floor,FALSE,a,NA,a
purple,button,button,FALSE,a,NA,a
wet,rug,rug,FALSE,a,NA,a
slippery,balloon,balloon,FALSE,a,NA,a
bunny,rabbit,rabbit,FALSE,a,NA,a
yellow,button,button,FALSE,a,NA,a
green,casing,casing,FALSE,a,NA,a
red,drum,drum,FALSE,a,NA,a
yellow,drum,drum,FALSE,a,NA,a
honk,honk,honk,FALSE,a,a,a
yellow,lion,lion,FALSE,a,NA,a
baby,sticks,stick,FALSE,a,NA,a
purple,crayon,crayon,FALSE,a,NA,a
lighter,purple,purple,TRUE,,NA,
pinky,purple,purple,TRUE,,NA,
yellow,scarf,scarf,FALSE,a,NA,a
yellow,crayon,crayon,FALSE,a,NA,a
swimming,pool,pool,FALSE,a,NA,a
uniform,dinosaur,dinosaur,FALSE,a,NA,a
daddy,home,home,FALSE,a,a,a
toe,sleeping,sleeping,TRUE,,NA,
oven,mitts,mitt,FALSE,an,NA,a
green,candles,candle,FALSE,a,NA,a
gold,balloon,balloon,FALSE,a,NA,a
bottom,house,house,FALSE,a,a,a
yellow,brush,brush,FALSE,a,NA,a
