adj,noun_orig,noun,mass,adj_article,noun_article,article
sweet,packets,packet,FALSE,a,NA,a
plastic,bag,bag,FALSE,a,NA,a
wooden,box,box,FALSE,a,NA,a
ironing,board,board,FALSE,an,NA,a
sunny,spot,spot,FALSE,a,NA,a
yellow,ball,ball,FALSE,a,NA,a
red,ball,ball,FALSE,a,NA,a
yellow,hoop,hoop,FALSE,a,a,a
yellow,red,red,TRUE,,NA,
prawn,balls,ball,FALSE,a,NA,a
hot,air,air,TRUE,,NA,
stuffed,mushrooms,mushroom,FALSE,a,NA,a
hot,spices,spice,FALSE,a,NA,a
hot,sauce,sauce,TRUE,,NA,
red,suits,suit,FALSE,a,NA,a
red,ties,tie,FALSE,a,NA,a
red,day,day,FALSE,a,NA,a
shield,brooch,brooch,FALSE,a,NA,a
red,dress,dress,FALSE,a,NA,a
silver,beard,beard,FALSE,a,NA,a
doggy,bins,bin,FALSE,a,NA,a
plastic,heron,heron,FALSE,a,a,a
plastic,herons,heron,FALSE,a,a,a
plastic,ducks,duck,FALSE,a,NA,a
top,window,window,FALSE,a,NA,a
dark,paint,paint,TRUE,,NA,
varnish,stripper,stripper,FALSE,a,NA,a
varnish,paint,paint,TRUE,,NA,
thick,ones,one,FALSE,a,a,a
sweet,ones,one,FALSE,a,a,a
bright,boy,boy,FALSE,a,NA,a
sycamore,trees,tree,FALSE,a,NA,a
grave,gravestones,gravestone,FALSE,a,NA,a
marble,hearths,hearth,FALSE,a,a,a
hearth,hearth,hearth,FALSE,a,a,a
cable,runs,run,FALSE,a,NA,a
round,wall,wall,FALSE,a,NA,a
quarter,pipe,pipe,FALSE,a,NA,a
varnish,stain,stain,FALSE,a,NA,a
stroke,room,room,FALSE,a,NA,a
yellow,radiator,radiator,FALSE,a,NA,a
paint,plaster,plaster,FALSE,a,NA,a
pest,attack,attack,FALSE,a,NA,an
dark,ceiling,ceiling,FALSE,a,NA,a
cable,run,run,FALSE,a,NA,a
solid,path,path,FALSE,a,NA,a
broken,legs,leg,FALSE,a,NA,a
hot,shit,shit,TRUE,,NA,
eleven,platform,platform,FALSE,an,NA,a
organ,pipes,pipe,FALSE,an,NA,a
post,office,office,FALSE,a,an,an
plastic,spoon,spoon,FALSE,a,NA,a
bottom,ones,one,FALSE,a,a,a
wet,kisses,kiss,FALSE,a,NA,a
yellow,piece,piece,FALSE,a,NA,a
standing,wall,wall,FALSE,a,NA,a
human,earth,earth,TRUE,,NA,
human,race,race,FALSE,a,NA,a
dead,ones,one,FALSE,a,a,a
brake,fluid,fluid,TRUE,,NA,
round,ones,one,FALSE,a,a,a
watch,strap,strap,FALSE,a,NA,a
thick,dad,dad,FALSE,a,NA,a
plastic,back,back,FALSE,a,NA,a
baby,boy,boy,FALSE,a,NA,a
wet,road,road,FALSE,a,NA,a
wet,tarmac,tarmac,FALSE,a,NA,a
thick,people,person,FALSE,a,NA,a
telegraph,people,person,FALSE,a,NA,a
red,van,van,FALSE,a,NA,a
organ,university,university,FALSE,an,a,a
nanny,training,training,FALSE,a,NA,a
dead,brother,brother,FALSE,a,NA,a
seaside,carts,cart,FALSE,a,NA,a
farm,cats,cat,FALSE,a,NA,a
round,field,field,FALSE,a,NA,a
hind,legs,leg,FALSE,a,NA,a
garden,shoulders,shoulder,FALSE,a,NA,a
singing,contest,contest,FALSE,a,NA,a
back,legs,leg,FALSE,a,NA,a
hind,foot,foot,FALSE,a,NA,a
horseman,horseman,horseman,FALSE,a,a,a
farm,instruments,instrument,FALSE,a,NA,an
thistle,spuds,spud,FALSE,a,NA,a
dust,wagon,wagon,FALSE,a,NA,a
dead,stone,stone,FALSE,a,NA,a
red,flap,flap,FALSE,a,NA,a
forty,videos,video,FALSE,a,NA,a
chief,accountant,accountant,FALSE,a,NA,an
top,garden,garden,FALSE,a,NA,a
burglar,alarms,alarm,FALSE,a,NA,an
dark,screen,screen,FALSE,a,NA,a
brown,paper,paper,FALSE,a,NA,a
lighter,snack,snack,FALSE,a,NA,a
green,flowers,flower,FALSE,a,NA,a
solid,rain,rain,TRUE,,NA,
record,gate,gate,FALSE,a,NA,a
fish,pond,pond,FALSE,a,NA,a
solid,hedge,hedge,FALSE,a,a,a
red,caps,cap,FALSE,a,NA,a
green,cap,cap,FALSE,a,NA,a
woman,door,door,FALSE,a,NA,a
cloud,smoke,smoke,TRUE,,NA,
garden,sheds,shed,FALSE,a,NA,a
garden,chair,chair,FALSE,a,NA,a
primrose,oil,oil,TRUE,,an,
infant,teachers,teacher,FALSE,an,NA,a
poppy,day,day,FALSE,a,NA,a
dolly,bird,bird,FALSE,a,NA,a
key,ring,ring,FALSE,a,NA,a
dart,duster,duster,FALSE,a,NA,a
flat,night,night,FALSE,a,NA,a
pussy,hair,hair,TRUE,,a,
purple,cat,cat,FALSE,a,NA,a
alley,pals,pal,FALSE,an,NA,a
gold,ticket,ticket,FALSE,a,NA,a
rainy,day,day,FALSE,a,NA,a
lead,picture,picture,FALSE,a,NA,a
military,police,police,TRUE,,NA,
dead,horse,horse,FALSE,a,a,a
thick,head,head,FALSE,a,a,a
wife,battering,battering,FALSE,a,NA,a
blond,boys,boy,FALSE,a,NA,a
bottom,floor,floor,FALSE,a,NA,a
fat,pig,pig,FALSE,a,NA,a
sweet,granny,granny,FALSE,a,NA,a
grey,hair,hair,TRUE,,a,
brown,lettuce,lettuce,TRUE,,NA,
brandy,butter,butter,TRUE,,NA,
roast,lamb,lamb,FALSE,a,NA,a
quarter,eight,eight,FALSE,a,NA,an
toy,bus,bus,FALSE,a,NA,a
flat,box,box,FALSE,a,NA,a
red,jumper,jumper,FALSE,a,NA,a
silver,car,car,FALSE,a,NA,a
square,side,side,FALSE,a,NA,a
wooden,puzzles,puzzle,FALSE,a,NA,a
hot,roll,roll,FALSE,a,NA,a
green,peppers,pepper,FALSE,a,NA,a
apple,apple,apple,FALSE,an,NA,an
library,ticket,ticket,FALSE,a,NA,a
hot,bottle,bottle,FALSE,a,NA,a
lad,lad,lad,FALSE,a,NA,a
hot,tray,tray,FALSE,a,NA,a
fat,cheese,cheese,TRUE,,NA,
bright,beak,beak,FALSE,a,NA,a
orange,beak,beak,FALSE,an,NA,a
brown,ribbon,ribbon,FALSE,a,NA,a
green,salad,salad,FALSE,a,NA,a
tonic,glass,glass,FALSE,a,NA,a
shelve,dividers,divider,FALSE,a,NA,a
ankle,socks,sock,FALSE,an,NA,a
underwear,socks,sock,FALSE,an,NA,a
fish,net,net,FALSE,a,NA,a
fat,rolls,roll,FALSE,a,NA,a
paint,brushes,brush,FALSE,a,NA,a
plastic,circles,circle,FALSE,a,NA,a
back,seat,seat,FALSE,a,NA,a
top,inches,inch,FALSE,a,NA,an
green,fingers,finger,FALSE,a,NA,a
dogs,biscuit,biscuit,FALSE,a,NA,a
brown,syrup,syrup,TRUE,,NA,
frost,rising,rising,FALSE,a,NA,a
red,shoes,shoe,FALSE,a,NA,a
round,tablets,tablet,FALSE,a,NA,a
fat,legs,leg,FALSE,a,NA,a
orange,apple,apple,FALSE,an,NA,an
spot,check,check,FALSE,a,NA,a
red,dog,dog,FALSE,a,NA,a
green,card,card,FALSE,a,NA,a
slate,mine,mine,FALSE,a,NA,a
flat,land,land,TRUE,,NA,
eleven,eleven,eleven,FALSE,an,NA,an
throw,mud,mud,TRUE,,NA,
red,wine,wine,TRUE,,NA,
brown,bread,bread,TRUE,,NA,
pool,ones,one,FALSE,a,a,a
flaming,desk,desk,FALSE,a,NA,a
freezing,water,water,TRUE,,NA,
